episode,frames,return,misbehave,Lc,La,ratio,test
282.0,21845.0,0.0,0.0,0.0030436598235295408,-0.018988765347748994,0.43,0.0
283.0,21920.0,0.0,1.0,0.0032228317950156724,-0.017666287322063,0.29333333333333333,0.0
284.0,22020.0,0.0,0.0,0.0038814169761406457,-0.01589592656586319,0.34,0.0
285.0,22067.0,0.0,1.0,0.002876610590737623,-0.015497391195967793,0.19148936170212766,0.0
286.0,22167.0,0.0,0.0,0.0051601441228460165,-0.015339481378905475,0.45,0.0
287.0,22238.0,0.0,1.0,0.005252118019034597,-0.01396845860639587,0.22535211267605634,0.0
288.0,22338.0,0.0,0.0,0.002696814860729173,-0.013187939915806055,0.32,0.0
289.0,22438.0,0.0,0.0,0.004020044554325551,-0.013023307626135648,0.25,0.0
290.0,22508.0,0.0,1.0,0.005315166343357393,-0.011039119586348534,0.2571428571428571,0.0
291.0,22608.0,0.0,0.0,0.004902870038978987,-0.009175140580628066,0.24,0.0
292.0,22708.0,0.0,0.0,0.004289482166985956,-0.00866360324434936,0.18,0.0
293.0,22808.0,0.0,0.0,0.0038876524801839452,-0.007679062949027866,0.18,0.0
294.0,22908.0,0.0,0.0,0.0028058331250416613,-0.007210569551680237,0.28,0.0
295.0,23008.0,0.0,0.0,0.004103903391955726,-0.007070008164737374,0.19,0.0
296.0,23081.0,1.0,0.0,0.004032612727535387,-0.006847355524078011,0.3561643835616438,0.0
297.0,23174.0,0.0,1.0,0.0060313724273873956,-0.004953421931713819,0.3118279569892473,0.0
298.0,23206.0,0.0,1.0,0.0030308579327693232,-0.005218686182051897,0.25,0.0
